protein,type,gene
1_25_dihydroxyvitamin_d_3_24_hydroxylase_mitochondrial,enzymes,CYP24A1
15_hydroxyprostaglandin_dehydrogenase_nad_,enzymes,HPGD
1_acyl_sn_glycerol_3_phosphate_acyltransferase_beta,enzymes,AGPAT2
2_acylglycerol_o_acyltransferase_2,enzymes,DGAT2L7P
3_beta_hydroxysteroid_delta_8_delta_7_isomerase,enzymes,HSD3B1
4_hydroxyphenylpyruvate_dioxygenase,enzymes,HPD
72_kda_type_iv_collagenase,enzymes,COL4A1
acetylcholinesterase,enzymes,ACHE
acetyl_coa_carboxylase_1,enzymes,ACACA
acetyl_coa_carboxylase_2,enzymes,ACACA
acid_ceramidase,enzymes,ASAH1
acyl_coa_desaturase,enzymes,SCD
adenosine_deaminase,enzymes,ADA
adenosylhomocysteinase,enzymes,AHCY
adenylate_cyclase_type_1,enzymes,ADCYAP1
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_4,enzymes,ADAMTS1
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_5,enzymes,ADAMTS1
alcohol_dehydrogenase_class_3,enzymes,ADH1C
aldehyde_dehydrogenase_mitochondrial,enzymes,ALDH2
aldo_keto_reductase_family_1_member_b10,enzymes,AKR1B10
aldo_keto_reductase_family_1_member_c1,enzymes,AKR1B10
aldo_keto_reductase_family_1_member_c2,enzymes,AKR1B10
aldo_keto_reductase_family_1_member_c3,enzymes,AKR1B10
aldose_reductase,enzymes,AKR1B1
alkaline_phosphatase_tissue_nonspecific_isozyme,enzymes,ALPPL2
alpha_1_6_mannosyl_glycoprotein_2_beta_n_acetylglucosaminyltransferase,enzymes,MGAT5
amine_oxidase_flavin_containing_a,enzymes,FMO3
amine_oxidase_flavin_containing_b,enzymes,FMO3
aminopeptidase_n,enzymes,ANPEP
amp_deaminase_3,enzymes,AMPD1
angiotensin_converting_enzyme,enzymes,ACE2
arachidonate_15_lipoxygenase,enzymes,ALOX15
arginase_1,enzymes,ARG2
arginase_2_mitochondrial,enzymes,ARG2
aromatase,enzymes,CYP19A1
beta_secretase_1,enzymes,PSENEN
beta_secretase_2,enzymes,PSENEN
bifunctional_epoxide_hydrolase_2,enzymes,EPHX1
branched_chain_amino_acid_aminotransferase_mitochondrial,enzymes,BCAT2
calcium_calmodulin_dependent_3_5_cyclic_nucleotide_phosphodiesterase_1c,enzymes,PDE1B
camp_and_camp_inhibited_cgmp_3_5_cyclic_phosphodiesterase_10a,enzymes,RAPGEF3
carbonic_anhydrase_12,enzymes,CA6
carbonic_anhydrase_13,enzymes,CA6
carbonic_anhydrase_14,enzymes,CA6
carbonic_anhydrase_2,enzymes,CA6
carbonic_anhydrase_5a_mitochondrial,enzymes,CA5A
carbonic_anhydrase_5b_mitochondrial,enzymes,CA6
carbonic_anhydrase_6,enzymes,CA6
carbonic_anhydrase_7,enzymes,CA6
carbonic_anhydrase_9,enzymes,CA9
carboxypeptidase_b,enzymes,CPN1
carboxypeptidase_b2,enzymes,CPM
carnitine_o_palmitoyltransferase_1_liver_isoform,enzymes,CPT2
carnitine_o_palmitoyltransferase_1_muscle_isoform,enzymes,CPT2
carnitine_o_palmitoyltransferase_2_mitochondrial,enzymes,CPT2
caspase_1,enzymes,CASP8
caspase_2,enzymes,CASP2
caspase_3,enzymes,CASP3
caspase_6,enzymes,CASP8
caspase_7,enzymes,CASP3
caspase_8,enzymes,CASP8
catechol_o_methyltransferase,enzymes,COMT
cathepsin_b,enzymes,CTSB
cathepsin_e,enzymes,CTSE
cathepsin_f,enzymes,CTSG
cathepsin_g,enzymes,CTSG
cathepsin_k,enzymes,CTSG
cathepsin_l2,enzymes,CTSL
ceramide_glucosyltransferase,enzymes,UGCG
cgmp_dependent_3_5_cyclic_phosphodiesterase,enzymes,PRKG1
cholinesterase,enzymes,BCHE
chymase,enzymes,CMA1
chymotrypsin_c,enzymes,CTRC
chymotrypsinogen_b,enzymes,CTRB1
coagulation_factor_ix,enzymes,F9
coagulation_factor_vii,enzymes,F7
